benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,endSize,startSize,rt,tps,ct,ar,rtP95
micro,60,3,false,1,n/a,1,riak,1,100000,34843940,34843940,0.002713,367.937,19869,0.000000,0.004990
micro,60,3,false,1,n/a,1,riak,2,50000,18419029,18419029,0.002714,367.871,19865,0.000000,0.004994
micro,60,3,false,1,n/a,1,riak,4,25000,9910533,9910533,0.002721,366.941,19815,0.000000,0.004975
micro,60,3,false,1,n/a,1,riak,8,12500,5683433,5683433,0.002770,360.451,19465,0.000000,0.004998
micro,60,3,false,1,n/a,1,riak,16,6250,3603888,3603888,0.002835,352.231,19021,0.000000,0.005086
micro,60,3,false,1,n/a,1,riak,32,3125,2531968,2531968,0.002968,336.390,18166,0.000000,0.005338
micro,60,3,false,1,n/a,1,riak,64,1562,1875782,1875782,0.003139,318.074,17177,0.000000,0.005557
micro,60,3,false,1,n/a,1,riak,128,781,1619706,1619706,0.003467,288.013,15554,0.000000,0.005956
