benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,pg_crdt,8,12500,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,total,0.002179,458.519,24760,0.000000,0.003718
micro,60,3,false,1,RC,1,pg_crdt,8,12500,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,8,12500,mapAdd,0.003304,229.170,12375,0.000000,0.003829
micro,60,3,false,1,RC,1,pg_crdt,8,12500,mapValue,0.001054,229.349,12385,0.000000,0.001308
micro,60,3,false,1,RC,1,pg_crdt,16,6250,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,mapValue,0.001173,214.018,11557,0.000000,0.001453
micro,60,3,false,1,RC,1,pg_crdt,16,6250,mapAdd,0.003509,213.036,11504,0.000000,0.004072
micro,60,3,false,1,RC,1,pg_crdt,16,6250,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,registerGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,listAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,16,6250,total,0.002339,427.054,23062,0.000000,0.003952
micro,60,3,false,1,RC,1,pg_crdt,16,6250,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,mapValue,0.001360,192.628,10402,0.000000,0.001645
micro,60,3,false,1,RC,1,pg_crdt,32,3125,counterDec,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,listPrepend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,pg_crdt,32,3125,mapAdd,0.003857,191.159,10323,0.000000,0.004462
