engine,type,name,ip,bytes_sent,bytes_recv,total
riak,map,$\mathregular{Value_1}$,-,0,0,0
riak,map,$\mathregular{Value_1}$,172.31.25.248,2137202,9305,2146507
riak,map,$\mathregular{Value_1}$,172.31.31.238,5086230,2581981,7668211
