engine,type,name,ip,bytes_sent,bytes_recv,total
crdv,map,$\mathregular{Value_{100}}$,172.31.25.248,3468,4271,7739
crdv,map,$\mathregular{Value_{100}}$,172.31.31.238,3689117,4554127,8243244
