engine,type,name,ip,bytes_sent,bytes_recv,total
crdv,map,$\mathregular{Get_1}$,172.31.25.248,3402,4172,7574
crdv,map,$\mathregular{Get_1}$,172.31.31.238,4172043,4061737,8233780
