engine,type,name,ip,bytes_sent,bytes_recv,total
crdv,map,$\mathregular{Get_{100}}$,172.31.25.248,4309,5189,9498
crdv,map,$\mathregular{Get_{100}}$,172.31.31.238,189543224,4064762,193607986
