time,workers,delay,tps
0.0,16,0.0,932.0
1.0,16,74.66666666666667,1488.0
2.0,16,360.0,1451.0
3.0,16,642.2857142857143,1400.0
4.0,16,848.0,1424.0
5.0,16,1200.0,1460.0
6.0,16,1605.3333333333333,1403.0
7.0,16,1882.6666666666667,1252.0
8.0,16,2138.6666666666665,1371.0
9.0,16,1824.0,1336.0
10.0,16,1818.6666666666667,1353.0
11.0,16,1594.6666666666667,1301.0
12.0,16,1416.0,1288.0
13.0,16,1520.0,1377.0
14.0,16,1480.0,1326.0
15.0,16,1546.6666666666667,1335.0
16.0,16,1498.6666666666667,1321.0
17.0,16,1472.0,1290.0
18.0,16,1461.3333333333333,1311.0
19.0,16,1546.6666666666667,1355.0
20.0,16,1498.6666666666667,1291.0
21.0,16,1440.0,1295.0
22.0,16,1173.3333333333333,1350.0
23.0,16,1176.0,1324.0
24.0,16,1226.6666666666667,1407.0
25.0,16,1420.0,1859.0
26.0,16,2218.6666666666665,2040.0
27.0,16,3299.2,2088.0
28.0,16,4480.0,2057.0
29.0,16,5666.666666666667,2039.0
30.0,16,6809.6,2021.0
31.0,16,7890.666666666667,2002.0
32.0,16,8960.0,1966.0
33.0,16,9901.333333333334,2107.0
34.0,16,11100.8,2044.0
35.0,16,12156.8,1989.0
36.0,16,13536.0,2100.0
37.0,16,14608.0,1337.0
38.0,16,14458.666666666666,864.0
39.0,16,13856.0,839.0
40.0,16,13365.333333333334,872.0
41.0,16,12810.666666666666,789.0
42.0,16,12394.666666666666,806.0
43.0,16,11941.333333333334,887.0
44.0,16,11541.333333333334,887.0
45.0,16,10896.0,857.0
46.0,16,10458.666666666666,880.0
47.0,16,10096.0,858.0
48.0,16,9536.0,846.0
49.0,16,8832.0,843.0
50.0,16,8328.0,827.0
51.0,16,7904.0,844.0
52.0,16,7236.0,889.0
53.0,16,6314.666666666667,864.0
54.0,16,5840.0,844.0
55.0,16,5365.333333333333,1001.0
56.0,16,5184.0,1267.0
57.0,16,5045.333333333333,1285.0
58.0,16,4960.0,1297.0
59.0,16,4688.0,1337.0
60.0,16,4682.666666666667,1003.0
61.0,16,3980.0,0.0
62.0,16,2224.0,0.0
63.0,16,388.0,0.0
64.0,16,0.0,0.0
65.0,16,0.0,0.0
66.0,16,0.0,0.0
67.0,16,0.0,0.0
68.0,16,0.0,0.0
69.0,16,0.0,0.0
70.0,16,0.0,0.0
