time,workers,delay,tps
0.0,8,512.8,1543.0
1.0,8,1284.4444444444443,1563.0
2.0,8,2193.6,1566.0
3.0,8,3206.4,1718.0
4.0,8,4232.888888888889,2061.0
5.0,8,5395.2,2111.0
6.0,8,6470.4,2306.0
7.0,8,7861.333333333333,2212.0
8.0,8,8994.4,2151.0
9.0,8,10246.4,1912.0
10.0,8,11591.111111111111,2111.0
11.0,8,12837.6,2115.0
12.0,8,14106.4,2104.0
13.0,8,15280.0,2135.0
14.0,8,16349.333333333334,2098.0
15.0,8,17546.4,2107.0
16.0,8,18902.4,2127.0
17.0,8,20179.555555555555,2113.0
18.0,8,21398.4,2131.0
19.0,8,22693.6,2137.0
20.0,8,23949.6,2176.0
21.0,8,25064.88888888889,2133.0
22.0,8,26314.4,2148.0
23.0,8,27668.8,2148.0
24.0,8,28922.666666666668,2123.0
25.0,8,30664.0,2180.0
26.0,8,32548.8,2137.0
27.0,8,34495.2,2154.0
28.0,8,36119.11111111111,2130.0
29.0,8,37981.6,2128.0
30.0,8,40028.0,2131.0
31.0,8,41851.555555555555,2124.0
32.0,8,43621.6,2100.0
33.0,8,45554.4,2123.0
34.0,8,47637.6,2137.0
35.0,8,49376.0,2101.0
36.0,8,51101.6,2148.0
37.0,8,52954.4,2126.0
38.0,8,54440.0,2106.0
39.0,8,55479.11111111111,1919.0
40.0,8,56572.8,2027.0
41.0,8,57608.0,2047.0
42.0,8,58696.0,2059.0
43.0,8,59784.88888888889,2065.0
44.0,8,60876.8,2043.0
45.0,8,62100.8,2055.0
46.0,8,63237.333333333336,1981.0
47.0,8,64119.2,1996.0
48.0,8,65200.8,1999.0
49.0,8,66254.4,1962.0
50.0,8,67387.55555555556,1953.0
51.0,8,68609.6,1962.0
52.0,8,70020.8,1906.0
53.0,8,71236.44444444444,1924.0
54.0,8,72162.4,1914.0
55.0,8,73330.4,1862.0
56.0,8,74392.8,1884.0
57.0,8,75449.77777777778,1898.0
58.0,8,76197.6,1787.0
59.0,8,77052.8,1812.0
60.0,8,77482.4,88.0
61.0,8,76802.4,0.0
62.0,8,75942.4,0.0
63.0,8,75048.88888888889,0.0
64.0,8,74260.8,0.0
65.0,8,73396.0,0.0
66.0,8,72424.8,0.0
67.0,8,71532.0,0.0
68.0,8,70614.4,0.0
69.0,8,69776.8,0.0
70.0,8,68860.0,0.0
71.0,8,68121.33333333333,0.0
