time,workers,delay,tps
0.0,8,204.8,4287.0
1.0,8,293.6,4344.0
2.0,8,257.6,4297.0
3.0,8,286.4,4216.0
4.0,8,283.2,4265.0
5.0,8,205.6,4137.0
6.0,8,247.2,3995.0
7.0,8,249.6,4020.0
8.0,8,226.4,3868.0
9.0,8,205.33333333333334,3643.0
10.0,8,209.6,3671.0
11.0,8,227.2,3856.0
12.0,8,189.6,3491.0
13.0,8,196.8,3545.0
14.0,8,229.6,3479.0
15.0,8,220.0,3253.0
16.0,8,192.8,3309.0
17.0,8,232.8,3222.0
18.0,8,200.8,3053.0
19.0,8,204.44444444444446,3150.0
20.0,8,223.2,3386.0
21.0,8,222.4,3341.0
22.0,8,236.8,3800.0
23.0,8,276.0,3979.0
24.0,8,217.6,3689.0
25.0,8,1300.8,3618.0
26.0,8,3615.2,3661.0
27.0,8,6060.8,3564.0
28.0,8,8383.2,3585.0
29.0,8,10380.0,3559.0
30.0,8,12647.2,3355.0
31.0,8,14629.333333333334,3118.0
32.0,8,16801.6,3108.0
33.0,8,18821.6,2814.0
34.0,8,20634.4,2981.0
35.0,8,22384.0,3007.0
36.0,8,24442.4,4086.0
37.0,8,27105.6,4539.0
38.0,8,27223.2,2668.0
39.0,8,2593.6,4095.0
40.0,8,264.8,4392.0
41.0,8,260.44444444444446,4364.0
42.0,8,220.0,4357.0
43.0,8,241.6,4365.0
44.0,8,265.6,4301.0
45.0,8,237.6,4336.0
46.0,8,253.6,4389.0
47.0,8,288.8,4375.0
48.0,8,237.6,4323.0
49.0,8,261.6,4392.0
50.0,8,276.8,4375.0
51.0,8,283.2,4385.0
52.0,8,243.2,4323.0
53.0,8,251.55555555555554,4430.0
54.0,8,256.0,4355.0
55.0,8,292.0,4344.0
56.0,8,296.8,4291.0
57.0,8,205.6,4411.0
58.0,8,217.6,4325.0
59.0,8,204.0,4351.0
60.0,8,86.4,31.0
61.0,8,0.0,0.0
62.0,8,0.0,0.0
63.0,8,0.0,0.0
64.0,8,0.0,0.0
65.0,8,0.0,0.0
66.0,8,0.0,0.0
67.0,8,0.0,0.0
68.0,8,0.0,0.0
69.0,8,0.0,0.0
70.0,8,0.0,0.0
71.0,8,0.0,0.0
