time,workers,delay,tps
0.0,32,1891.5555555555557,4311.0
1.0,32,6444.8,4710.0
2.0,32,11324.444444444445,4960.0
3.0,32,15680.0,4816.0
4.0,32,20355.2,5134.0
5.0,32,25738.666666666668,7454.0
6.0,32,32320.0,7488.0
7.0,32,38798.22222222222,7511.0
8.0,32,45932.8,7412.0
9.0,32,52707.555555555555,7405.0
10.0,32,58947.2,7410.0
11.0,32,65002.666666666664,7214.0
12.0,32,70787.2,7352.0
13.0,32,76864.0,7219.0
14.0,32,82716.8,7311.0
15.0,32,89813.33333333333,7294.0
16.0,32,96694.4,7104.0
17.0,32,103417.6,7030.0
18.0,32,109546.66666666667,7037.0
19.0,32,115302.4,7060.0
20.0,32,121169.77777777778,6729.0
21.0,32,126414.22222222222,6744.0
22.0,32,132921.6,6737.0
23.0,32,138435.55555555556,6597.0
24.0,32,144156.8,6857.0
25.0,32,151093.33333333334,7306.0
26.0,32,158387.2,7161.0
27.0,32,165329.77777777778,7317.0
28.0,32,172329.6,7224.0
29.0,32,179111.11111111112,7060.0
30.0,32,185683.2,7138.0
31.0,32,192913.77777777778,7002.0
32.0,32,199443.2,6907.0
33.0,32,205728.0,6839.0
34.0,32,211904.0,6859.0
35.0,32,218944.0,6793.0
36.0,32,225504.0,6694.0
37.0,32,232208.0,5937.0
38.0,32,237251.55555555556,5080.0
39.0,32,241120.0,4809.0
40.0,32,245363.2,5267.0
41.0,32,249240.88888888888,5204.0
42.0,32,253120.0,4949.0
43.0,32,257363.2,5054.0
44.0,32,261724.44444444444,4899.0
45.0,32,265539.2,4741.0
46.0,32,269205.3333333333,4710.0
47.0,32,273120.0,4462.0
48.0,32,277688.8888888889,4427.0
49.0,32,281923.2,4776.0
50.0,32,286147.55555555556,4443.0
51.0,32,289024.0,2315.0
