benchmark,time,runs,noReload,workers,isolation,sites,items,ops,schema,simulatedSites,operation,rt,tps,ct,ar,rtP95
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,4,readKey,0.000698,215.999,11664,0.000000,0.000986
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,4,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,4,total,0.001531,652.422,35232,0.000000,0.003986
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,4,write,0.003280,217.974,11771,0.000000,0.004251
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,6,write,0.003273,215.316,11627,0.000000,0.004216
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,6,currTime,0.000636,215.520,11638,0.000000,0.000911
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,6,readKey,0.000743,214.205,11567,0.000000,0.001026
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,6,total,0.001552,645.042,34833,0.000000,0.003934
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,8,currTime,0.000601,220.242,11893,0.000000,0.000900
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,8,readKey,0.000781,223.773,12084,0.000000,0.001087
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,8,total,0.001496,667.714,36057,0.000000,0.003776
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,8,write,0.003092,223.699,12080,0.000000,0.004085
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,10,readKey,0.000807,242.993,13122,0.000000,0.001173
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,10,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,10,write,0.002774,242.388,13089,0.000000,0.003984
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,10,total,0.001370,728.739,39352,0.000000,0.003585
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,10,currTime,0.000533,243.357,13141,0.000000,0.000889
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,12,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,12,write,0.003115,208.509,11260,0.000000,0.004124
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,12,currTime,0.000625,205.793,11113,0.000000,0.000917
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,12,total,0.001615,621.448,33559,0.000000,0.003807
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,12,readKey,0.001090,207.145,11186,0.000000,0.001390
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,14,readKey,0.000983,210.361,11360,0.000000,0.001303
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,14,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,14,write,0.003124,209.028,11288,0.000000,0.004182
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,14,currTime,0.000662,210.528,11369,0.000000,0.000972
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,14,total,0.001587,629.916,34016,0.000000,0.003864
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,16,readKey,0.001151,199.921,10796,0.000000,0.001447
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,16,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,16,write,0.003210,196.748,10625,0.000000,0.004166
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,16,currTime,0.000700,198.162,10701,0.000000,0.000987
timestampEncoding,60,3,true,1,RC,1,1000,1000,array,16,total,0.001681,594.831,32122,0.000000,0.003831
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,1,write,0.003228,226.688,12241,0.000000,0.004109
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,1,currTime,0.000578,226.713,12243,0.000000,0.000849
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,1,readKey,0.000599,228.059,12315,0.000000,0.000872
timestampEncoding,60,3,true,1,RC,1,1000,1000,json,1,total,0.001467,681.461,36799,0.000000,0.003843
