engine,type,name,ip,bytes_sent,bytes_recv,total
crdv,map,$\mathregular{Get_1}$,172.19.0.3,6872,9195,16067
crdv,map,$\mathregular{Get_1}$,172.19.0.7,1376826,1251169,2627995
