engine,type,name,ip,bytes_sent,bytes_recv,total
pg_crdt_local_op,map,$\mathregular{Value_{100}}$,-,0,0,0
pg_crdt_local_op,map,$\mathregular{Value_{100}}$,172.19.0.7,0,25,25
