engine,type,name,ip,bytes_sent,bytes_recv,total
riak,map,$\mathregular{Add_{100}}$,-,0,0,0
riak,map,$\mathregular{Add_{100}}$,172.19.0.6,188792146,1304610,190096756
riak,map,$\mathregular{Add_{100}}$,172.19.0.7,499486,4573119,5072605
