time,workers,delay,tps
0.0,4,0.8,815.0
1.0,4,0.4444444444444444,834.0
2.0,4,0.0,859.0
3.0,4,50.666666666666664,1431.0
4.0,4,569.2,1865.0
5.0,4,1073.6,1825.0
6.0,4,1658.8,1814.0
7.0,4,2249.2,1705.0
8.0,4,2689.3333333333335,1708.0
9.0,4,3077.2,1638.0
10.0,4,3438.0,1625.0
11.0,4,3834.8,1558.0
12.0,4,4183.2,1504.0
13.0,4,4444.444444444444,1551.0
14.0,4,4881.6,1503.0
15.0,4,5173.6,1503.0
16.0,4,5607.2,1441.0
17.0,4,6006.222222222223,1388.0
18.0,4,6400.0,1417.0
19.0,4,6915.2,1355.0
20.0,4,7312.0,1363.0
21.0,4,7668.888888888889,1378.0
22.0,4,8087.2,1285.0
23.0,4,8594.4,1301.0
24.0,4,9099.2,1291.0
25.0,4,9923.111111111111,1162.0
26.0,4,10739.2,1169.0
27.0,4,11607.6,1142.0
28.0,4,12530.4,1148.0
29.0,4,13373.777777777777,1177.0
30.0,4,14259.6,1170.0
31.0,4,15145.2,1093.0
32.0,4,15989.2,1092.0
33.0,4,16814.222222222223,1130.0
34.0,4,17600.0,1152.0
35.0,4,18441.2,1081.0
36.0,4,19237.333333333332,1082.0
37.0,4,20021.2,1102.0
38.0,4,20412.8,1130.0
39.0,4,20621.2,1103.0
40.0,4,20882.222222222223,1097.0
41.0,4,21071.2,1070.0
42.0,4,21271.2,1086.0
43.0,4,21428.8,1082.0
44.0,4,21643.555555555555,1094.0
45.0,4,21937.6,1070.0
46.0,4,22138.4,1046.0
47.0,4,22437.6,1075.0
48.0,4,22698.222222222223,1050.0
49.0,4,22826.8,1025.0
50.0,4,23002.8,1009.0
51.0,4,23195.2,1015.0
52.0,4,23408.444444444445,1024.0
53.0,4,23656.4,1000.0
54.0,4,23931.2,999.0
55.0,4,24267.6,985.0
56.0,4,24552.88888888889,977.0
57.0,4,24853.2,997.0
58.0,4,25146.8,957.0
59.0,4,25419.6,981.0
60.0,4,25321.6,31.0
61.0,4,24893.2,0.0
62.0,4,24507.555555555555,0.0
63.0,4,24098.8,0.0
64.0,4,23663.6,0.0
65.0,4,23255.2,0.0
66.0,4,22828.0,0.0
67.0,4,22386.0,0.0
68.0,4,22002.4,0.0
69.0,4,21586.0,0.0
70.0,4,21364.0,0.0
