time,workers,delay,tps
0.0,16,449.6,8481.0
1.0,16,558.4,8511.0
2.0,16,513.6,8383.0
3.0,16,440.0,8055.0
4.0,16,307.2,7788.0
5.0,16,398.4,7643.0
6.0,16,231.11111111111111,7465.0
7.0,16,286.4,7686.0
8.0,16,276.8,7680.0
9.0,16,248.0,7585.0
10.0,16,291.2,7570.0
11.0,16,318.4,7217.0
12.0,16,180.8,7283.0
13.0,16,204.8,7311.0
14.0,16,164.8,7074.0
15.0,16,217.6,7151.0
16.0,16,217.6,7001.0
17.0,16,168.0,7048.0
18.0,16,220.44444444444446,6796.0
19.0,16,300.8,6763.0
20.0,16,240.0,6748.0
21.0,16,219.2,6707.0
22.0,16,222.4,6659.0
23.0,16,225.6,6618.0
24.0,16,195.2,6905.0
25.0,16,2344.0,6892.0
26.0,16,6300.8,6624.0
27.0,16,10046.4,6802.0
28.0,16,13716.8,6860.0
29.0,16,17288.0,6470.0
30.0,16,20425.6,6075.0
31.0,16,23009.777777777777,5847.0
32.0,16,25635.2,6000.0
33.0,16,28657.6,6119.0
34.0,16,31809.6,6820.0
35.0,16,35216.0,6118.0
36.0,16,38401.6,6308.0
37.0,16,41700.8,6404.0
38.0,16,34420.8,5910.0
39.0,16,4742.4,6537.0
40.0,16,320.0,6633.0
41.0,16,316.8,6633.0
42.0,16,222.22222222222223,6368.0
43.0,16,248.0,5915.0
44.0,16,228.8,5654.0
45.0,16,232.0,5853.0
46.0,16,206.4,5426.0
47.0,16,110.4,5180.0
48.0,16,166.4,5583.0
49.0,16,286.4,6116.0
50.0,16,216.0,6097.0
51.0,16,241.6,6073.0
52.0,16,288.0,6460.0
53.0,16,304.0,6472.0
54.0,16,284.8,6426.0
55.0,16,380.8,6414.0
56.0,16,169.6,6310.0
57.0,16,264.0,6057.0
58.0,16,284.8,6429.0
59.0,16,779.2,8707.0
60.0,16,57.6,246.0
61.0,16,0.0,0.0
62.0,16,0.0,0.0
63.0,16,0.0,0.0
64.0,16,0.0,0.0
65.0,16,0.0,0.0
66.0,16,0.0,0.0
67.0,16,0.0,0.0
68.0,16,0.0,0.0
69.0,16,0.0,0.0
70.0,16,0.0,0.0
