time,workers,delay,tps
0.0,2,0.0,553.0
1.0,2,0.0,558.0
2.0,2,0.0,554.0
3.0,2,0.0,548.0
4.0,2,0.0,562.0
5.0,2,0.0,547.0
6.0,2,0.0,542.0
7.0,2,0.0,550.0
8.0,2,0.0,556.0
9.0,2,0.0,555.0
10.0,2,0.0,554.0
11.0,2,0.0,550.0
12.0,2,0.0,532.0
13.0,2,0.0,550.0
14.0,2,0.0,552.0
15.0,2,0.0,567.0
16.0,2,0.0,558.0
17.0,2,0.0,545.0
18.0,2,0.0,579.0
19.0,2,0.0,551.0
20.0,2,0.0,555.0
21.0,2,0.0,546.0
22.0,2,1.4285714285714286,557.0
23.0,2,0.0,569.0
24.0,2,46.5,544.0
25.0,2,281.1111111111111,545.0
26.0,2,546.0,543.0
27.0,2,828.2222222222222,548.0
28.0,2,1124.75,539.0
29.0,2,1396.0,545.0
30.0,2,1679.25,542.0
31.0,2,1966.888888888889,560.0
32.0,2,2263.25,586.0
33.0,2,2560.222222222222,546.0
34.0,2,2803.75,543.0
35.0,2,3054.6666666666665,542.0
36.0,2,3296.5,546.0
37.0,2,3493.4285714285716,346.0
38.0,2,2163.3333333333335,120.0
39.0,2,186.28571428571428,404.0
40.0,2,0.0,570.0
41.0,2,0.0,548.0
42.0,2,0.0,549.0
43.0,2,0.0,560.0
44.0,2,0.0,558.0
45.0,2,0.0,550.0
46.0,2,0.0,567.0
47.0,2,0.0,550.0
48.0,2,0.0,554.0
49.0,2,0.0,552.0
50.0,2,0.0,552.0
51.0,2,0.0,552.0
52.0,2,0.0,554.0
53.0,2,0.0,555.0
54.0,2,0.0,559.0
55.0,2,0.0,551.0
56.0,2,0.0,553.0
57.0,2,0.0,542.0
58.0,2,0.0,559.0
59.0,2,0.0,546.0
60.0,2,0.0,8.0
61.0,2,0.0,0.0
62.0,2,0.0,0.0
63.0,2,0.0,0.0
64.0,2,0.0,0.0
65.0,2,0.0,0.0
66.0,2,0.0,0.0
67.0,2,0.0,0.0
68.0,2,0.0,0.0
69.0,2,0.0,0.0
