benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,endSize,startSize,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,native,1,100000,7667712,7667712,0.000698,1425.738,76991,0.000000,0.001511
micro,60,3,false,1,RC,1,native,2,50000,7659520,7659520,0.000699,1424.577,76928,0.000000,0.001513
micro,60,3,false,1,RC,1,native,4,25000,7643136,7643136,0.000698,1426.607,77038,0.000000,0.001518
micro,60,3,false,1,RC,1,native,8,12500,7610368,7610368,0.000704,1414.900,76405,0.000000,0.001514
micro,60,3,false,1,RC,1,native,16,6250,7585792,7585792,0.000699,1424.497,76924,0.000000,0.001517
micro,60,3,false,1,RC,1,native,32,3125,7569408,7569408,0.000694,1434.793,77481,0.000000,0.001513
micro,60,3,false,1,RC,1,native,64,1562,7544832,7544832,0.000702,1418.652,76608,0.000000,0.001515
micro,60,3,false,1,RC,1,native,128,781,7528448,7528448,0.000703,1417.326,76537,0.000000,0.001521
