benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,endSize,startSize,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,pg_crdt,1,100000,22552576,18989056,0.001545,645.623,34864,0.000000,0.002884
micro,60,3,false,1,RC,1,pg_crdt,2,50000,13303808,9863168,0.001585,629.525,33995,0.000000,0.002943
micro,60,3,false,1,RC,1,pg_crdt,4,25000,8347648,5357568,0.001628,612.777,33091,0.000000,0.003002
micro,60,3,false,1,RC,1,pg_crdt,8,12500,5357568,3006464,0.001708,584.108,31543,0.000000,0.003118
micro,60,3,false,1,RC,1,pg_crdt,16,6250,3588096,1941504,0.001866,534.731,28876,0.000000,0.003333
micro,60,3,false,1,RC,1,pg_crdt,32,3125,2482176,1384448,0.002161,461.954,24946,0.000000,0.003756
micro,60,3,false,1,RC,1,pg_crdt,64,1562,1728512,1056768,0.003023,330.308,17837,0.000000,0.004911
micro,60,3,false,1,RC,1,pg_crdt,128,781,1179648,761856,0.004337,230.357,12440,0.000000,0.006681
